#date	id	ledger	title	who
2026-07-31	PLT-002	platform	Choose taskman tooling language and location
2026-07-31	PLT-003	platform	Build tm executable: add, go, done
2026-07-31	PLT-006	platform	Prevent next_id collisions across branches
2026-07-31	PLT-004	platform	Build find skill and history.tsv auto-search
2026-07-31	PLT-001	platform	Enforce record lifecycle via git hooks
2026-07-31	PLT-tf3z	platform	Reset task records when adopting the skeleton
2026-07-31	PLT-5pk8	platform	Add tasks from Telegram
2026-07-31	PLT-005	platform	Notify team Telegram bot from done
2026-07-31	PLT-2fyj	platform	Make Telegram notification-only
2026-07-31	PLT-h49x	platform	Drop the Telegram drain in favour of BotFather description
2026-07-31	PLT-us7k	platform	Put the agent-is-the-interface concept in the README
2026-07-31	PLT-uhhk	platform	Make the notifier swappable
2026-07-31	PLT-jcv5	platform	check --notify should not send unless asked
2026-07-31	PLT-rc4c	platform	Add a tm command to return a task from doing to open
2026-07-31	PLT-n4zk	platform	Record assignees on tasks	stewart
2026-07-31	PLT-pztu	platform	Cap task titles and allow folder sidecars	stewart
2026-08-01	PLT-c6ab	platform	Co-locate the notes ontology and decide if notes needs tooling	stewart
2026-08-01	PLT-9wmv	platform	Add tm standup with a configurable period	stewart
2026-08-01	PLT-8ush	platform	Schedule the standup by cron instead of nudging at commit	stewart
2026-08-01	PLT-9jeg	platform	Provide a standup blueprint script for an always-on machine	stewart
2026-08-02	PLT-kkqk	platform	Move taskman machinery out of the records tree	stewart
2026-08-02	PLT-7xjv	platform	Make the skeleton adoption marker legible instead of an empty dotfile	stewart
2026-08-02	PLT-5m5t	platform	Mirror the tooling split across taskman and notes	stewart
2026-08-02	PLT-xw2q	platform	Give notes its own reset and adoption marker	stewart
2026-08-02	PLT-ms4z	platform	Move DEC records out of notes into a top-level decisions folder	stewart
2026-08-02	PLT-9wdq	platform	A note whose task shipped should leave the window, not just be hidden	stewart
2026-08-02	PLT-nq2u	platform	Pruning a shipped note should drop its history row too, not just the window line	stewart
2026-08-02	PLT-9c84	platform	nm cannot remove an archived note, and drop already means something else	stewart
2026-08-02	PLT-rnqp	platform	The 200-note window is too big to read whole; compare with the board's 15	stewart
2026-08-03	PLT-f7ge	platform	Name the skeleton llmeep in the README	stewart
2026-08-03	PLT-8u3y	platform	Rename the taskman folder to tasks	stewart
2026-08-03	PLT-6sqw	platform	Fix the version-cutting recipe and the release rationale	stewart
2026-08-03	PLT-f8u9	platform	tm reset leaves folder sidecars behind	stewart
2026-08-03	PLT-7fyv	platform	Offer to commit a closed task before starting the next one	stewart
2026-08-03	PLT-44pv	platform	A released skeleton should not carry llmeep decisions	stewart
2026-08-03	PLT-g3qq	platform	README decision links break on a release cut	stewart
2026-08-03	PLT-evwe	platform	The README status section claims work that is done	stewart
2026-08-03	PLT-fy4e	platform	A clean skeleton is missing notes/raw and platform sidecars	stewart
2026-08-03	PLT-swrt	platform	Reduce the ontology to what is actually referenced	stewart
2026-08-03	PLT-su83	platform	Ontology decision links break on a release cut	stewart
2026-08-03	PLT-7g78	platform	An existing repo should be able to adopt the skeleton without starting over	stewart
2026-08-03	PLT-4yn8	platform	adopt leaves a repo with no entry point	stewart
2026-08-03	PLT-rhew	platform	tm check --release verifies a cut tree before it is committed	stewart
2026-08-03	PLT-jdgz	platform	Move adopt to the repo root	stewart
